student_id,campus,class_year,course_name,training_format,pre_test_score,post_test_score,completion_status,completion_time_days,satisfaction_score,assessment_attempts,training_hours,enrollment_date,completion_date
60001,Community Health Institute,M4,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,33.3,,In Progress,,2.8,2,3.1,2025-04-05,
60001,Community Health Institute,M4,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,48.3,,In Progress,,2.8,2,1.5,2025-10-09,
60001,Community Health Institute,M4,Trauma-Informed Care & Communication,Digital Workbook,36.2,,Not Started,,,0,0.0,2025-03-03,
60001,Community Health Institute,M4,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,49.7,65.7,Completed,3,4.5,1,1.1,2025-05-13,2025-05-16
60001,Community Health Institute,M4,Empathic Communication Quick Course,Gamified Microlearning,34.7,52.2,Completed,3,4.2,2,1.6,2025-08-08,2025-08-11
60001,Community Health Institute,M4,Physician Wellness & Burnout Prevention,Teacher-Led Virtual,47.3,55.3,Completed,18,4.4,1,4.8,2025-09-19,2025-10-07
60001,Community Health Institute,M4,Peer Mentorship & Clinical Team Communication,Blended,20.0,27.7,Completed,11,4.4,1,6.1,2025-07-30,2025-08-10
60001,Community Health Institute,M4,Motivational Interviewing Workshop,Blended,47.7,59.3,Completed,8,4.9,1,2.5,2025-10-15,2025-10-23
60002,Lakeside Medical Center,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,81.6,83.5,Completed,31,3.1,1,6.1,2025-06-24,2025-07-25
60002,Lakeside Medical Center,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,58.1,73.6,Completed,17,4.2,2,6.7,2025-02-10,2025-02-27
60002,Lakeside Medical Center,M3,Trauma-Informed Care & Communication,Digital Workbook,70.6,84.7,Completed,17,3.3,1,3.9,2025-02-16,2025-03-05
60002,Lakeside Medical Center,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,66.9,85.5,Completed,2,5.0,1,0.9,2025-09-05,2025-09-07
60002,Lakeside Medical Center,M3,Empathic Communication Quick Course,Gamified Microlearning,68.9,91.8,Completed,5,4.9,1,1.9,2025-11-09,2025-11-14
60002,Lakeside Medical Center,M3,Motivational Interviewing Workshop,Blended,68.9,81.0,Completed,7,4.1,1,3.0,2025-08-03,2025-08-10
60002,Lakeside Medical Center,M3,Peer Mentorship & Clinical Team Communication,Blended,47.2,65.7,Completed,14,4.6,3,6.7,2025-06-27,2025-07-11
60003,Lakeside Medical Center,M2,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,75.6,80.6,Completed,18,3.8,2,6.9,2025-07-06,2025-07-24
60003,Lakeside Medical Center,M2,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,71.1,79.1,Completed,24,3.7,1,5.4,2025-09-07,2025-10-01
60003,Lakeside Medical Center,M2,Trauma-Informed Care & Communication,Digital Workbook,72.4,,Not Started,,,0,0.0,2025-01-08,
60003,Lakeside Medical Center,M2,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,62.3,81.6,Completed,3,4.5,2,1.0,2025-05-08,2025-05-11
60003,Lakeside Medical Center,M2,Empathic Communication Quick Course,Gamified Microlearning,79.1,100.0,Completed,4,5.0,1,1.7,2025-04-25,2025-04-29
60003,Lakeside Medical Center,M2,Peer Mentorship & Clinical Team Communication,Blended,82.5,,Not Started,,,0,0.0,2025-10-02,
60003,Lakeside Medical Center,M2,Intro to Cognitive Behavioral Therapy for Primary Care,Teacher-Led Virtual,68.8,91.9,Completed,2,3.6,2,3.6,2025-02-04,2025-02-06
60004,Community Health Institute,M3,Psychiatric Interviewing & Mental Status Examination,Digital Workbook,56.1,,In Progress,,2.8,2,4.0,2025-05-14,
60004,Community Health Institute,M3,"Recognizing Depression, Anxiety & Suicide Risk",Digital Workbook,56.8,57.4,Completed,11,2.2,1,6.4,2025-07-03,2025-07-14
60004,Community Health Institute,M3,Trauma-Informed Care & Communication,Digital Workbook,65.4,74.9,Completed,12,3.1,3,4.6,2025-06-25,2025-07-07
60004,Community Health Institute,M3,De-escalation Micro-Skills for Acute Distress,Gamified Microlearning,62.7,83.1,Completed,3,5.0,2,1.2,2025-10-27,2025-10-30
60004,Community Health Institute,M3,Empathic Communication Quick Course,Gamified Microlearning,58.9,81.7,Completed,4,4.3,2,1.9,2025-05-25,2025-05-29
60004,Community Health Institute,M3,Motivational Interviewing Workshop,Blended,62.2,75.2,Completed,5,4.7,2,2.9,2025-01-31,2025-02-05
60004,Community Health Institute,M3,Peer Mentorship & Clinical Team Communication,Blended,46.0,62.5,Completed,14,4.4,2,6.2,2025-07-03,2025-07-17
